mobygames_id	en_wikipedia_id
007-licence-to-kill	007:_Licence_to_Kill
10-yard-fight_	10-Yard_Fight
19-part-1-boot-camp	19_Part_One:_Boot_Camp
1941-counter-attack	1941:_Counter_Attack
1942	1942_(video_game)
1943-kai	1943_Kai:_Midway_Kaisen
1943-the-battle-of-midway	1943:_The_Battle_of_Midway
1944-the-loop-master	1944:_The_Loop_Master
19xx-the-war-against-destiny	19XX:_The_War_Against_Destiny
221-b-baker-st	221B_Baker_Street_(video_game)
3-count-bout	3_Count_Bout
3-d-monster-chase	3D_Monster_Chase
3d-tanx	3D_Tanx
3d-tunnel	3D_Tunnel
4-d-warriors	4-D_Warriors
4-soccer-simulators	4_Soccer_Simulators
4x4-off-road-racing	4x4_Off-Road_Racing
50-mission-crush	50_Mission_Crush
64th-street-a-detective-story	64th_Street:_A_Detective_Story
720	720%C2%B0
750cc-grand-prix	750cc_Grand_Prix
a-view-to-a-kill-the-computer-game	A_View_to_a_Kill_(video_game)
aaargh	Aaargh!
ab-cop	A.B._Cop
abc-monday-night-football	ABC_Monday_Night_Football_(video_game)
abracadabra	Abracadabra_(video_game)
accolades-comics-featuring-steve-keene-thrillseeker	Accolade%27s_Comics
ace-2	Ace_2_(video_game)
ace-of-aces	Ace_of_Aces_(video_game)
acrobat-mission	Acrobat_Mission
acrojet	Acrojet
act-fancer-cybernetick-hyper-weapon	Act-Fancer:_Cybernetick_Hyper_Weapon
action-biker_	Action_Biker
action-biker	Action_Biker
action-fighter	Action_Fighter
action-force-ii-international-heroes	Action_Force_II
action-force	Action_Force_(video_game)
activision-decathlon	The_Activision_Decathlon
addams-family_	The_Addams_Family_(video_game)
adidas-championship-football	Adidas_Championship_Football
advance-of-the-megacamel	Attack_of_the_Mutant_Camels
adventure-1	Classic_Adventure
adventure-a	Adventure_A:_Planet_of_Death
adventure-quest	Jewels_of_Darkness
adventureland	Adventureland_(video_game)
aero-fighters-2	Aero_Fighters_2
aero-fighters-3	Aero_Fighters_3
aero-fighters	Aero_Fighters
after-burner-ii	After_Burner_II
after-the-war	After_the_War_(video_game)
agent-orange	Agent_Orange_(video_game)
agent-usa	Agent_USA
agent-x-ii-the-mad-profs-back	Agent_X_II:_The_Mad_Prof's_Back
agent-x-ii-the-mad-profs-back	Agent_X_II:_The_Mad_Prof%27s_Back
agent-x	Agent_X_(1986_video_game)
aggressors-of-dark-kombat	Aggressors_of_Dark_Kombat
ah-diddums	Ah_Diddums
air-buster	Air_Buster
air-duel	Air_Duel
air-gallet	Air_Gallet
airball	Airball_(video_game)
airborne-ranger	Airborne_Ranger
airwolf__	Airwolf_(video_game)
airwolf_	Airwolf_(video_game)
ajax	A_Jax
alchemist	Alchemist_(video_game)
alex-kidd-the-lost-stars	Alex_Kidd:_The_Lost_Stars
ali-baba-and-the-forty-thieves	Ali_Baba_and_the_Forty_Thieves_(video_game)
alibaba-and-40-thieves	Ali_Baba_and_40_Thieves_(video_game)
alice-in-wonderland	Alice_in_Wonderland_(1985_video_game)
alien_____	Alien_(1984_video_game)
alien-8	Alien_8
alien-garden	Alien_Garden
alien-highway-encounter-2	Alien_Highway
alien-storm	Alien_Storm
alien-syndrome	Alien_Syndrome
aliens-the-computer-game	Aliens:_The_Computer_Game_(Software_Studios)
alley-cat	Alley_Cat_(video_game)
alligator-hunt	Alligator_Hunt
alpha-mission-ii	Alpha_Mission_II
alter-ego	Alter_Ego_(1986_video_game)
altered-beast	Altered_Beast
alternate-reality-the-city	Alternate_Reality_(series)
amaurote	Amaurote
amazing-maze	The_Amazing_Maze_Game
amazing-spider-man	The_Amazing_Spider-Man_(1990_video_game)
amazon	Amazon_(video_game)
american-tag-team-wrestling	American_Tag-Team_Wrestling
android-two	Android_2
andy-capp	Andy_Capp:_The_Game
angel-kids	Angel_Kids
angler	Angler_(video_game)
annals-of-rome	Annals_of_Rome
ant-attack	Ant_Attack
anter-planter	Anter_Planter
antics	The_Birds_and_the_Bees_II:_Antics
apb	APB_(1987_video_game)
apocalypse_	Apocalypse:_The_Game_of_Nuclear_Devastation
apple-panic	Apple_Panic
arc-of-yesod	The_Arc_of_Yesod
arcadia	Arcadia_(video_game)
arch-rivals	Arch_Rivals
archon-ii-adept	Archon_II:_Adept
archon-the-light-and-the-dark	Archon:_The_Light_and_the_Dark
arcticfox	Arcticfox
arkanoid-revenge-of-doh	Arkanoid:_Revenge_of_Doh
arkanoid	Arkanoid
armed-police-batrider	Armed_Police_Batrider
armored-warriors	Armored_Warriors
army-moves	Army_Moves
arnhem-the-market-garden-operation	Arnhem_(video_game)
arnie_	Arnie_(video_game)
arnie-savage-combat-commando	Arnie_II
artillery-duel	Artillery_Duel
assault_	Assault_(1988_video_game)
asterix-and-the-magic-carpet	Asterix_and_the_Magic_Carpet_(Coktel_Vision_video_game)
asterix-and-the-magic-cauldron	Asterix_and_the_Magic_Cauldron
asteroids_	Asteroids_(video_game)
astonishing-adventures-of-mr-weems-and-the-she-vampires	The_Astonishing_Adventures_of_Mr._Weems_and_the_She_Vampires
astro-blaster	Astro_Blaster
astro-chase	Astro_Chase
asylum-ii	Asylum_(1981_video_game)
atf-advanced-tactical-fighter	ATF_(video_game)
athena	Athena_(video_game)
atic-atac	Atic_Atac
atlantis	Atlantis_(video_game)
attack-of-the-killer-tomatoes_	Attack_of_the_Killer_Tomatoes_(1986_video_game)
attack-of-the-mutant-camels	Attack_of_the_Mutant_Camels
atv-simulator	ATV_Simulator
auf-wiedersehen-monty	Auf_Wiedersehen_Monty
autoduel	Autoduel
automonopoli	Automonopoli
avalanche_	Avalanche_(video_game)
avalon___	Avalon_(video_game)
avenging-spirit	Avenging_Spirit
axe-of-rage	Barbarian_II:_The_Dungeon_of_Drax
axis-assassin	Axis_Assassin
aztarac	Aztarac
aztec-challenge	Aztec_Challenge
aztec	Aztec_(video_game)
b-1-nuclear-bomber	B-1_Nuclear_Bomber
b-wings-battle-wings	B-Wings
back-street-soccer	Back_Street_Soccer
back-to-skool	Back_to_Skool
back-to-the-future_	Back_to_the_Future_(1985_video_game)
back-to-the-future-part-iii	Back_to_the_Future_Part_III_(video_game)
bad-dudes	Bad_Dudes_Vs._DragonNinja
bad-street-brawler	Bad_Street_Brawler
badlands	Badlands_(video_game)
bagman	Bagman_(video_game)
bakutotsu-kijtei-baraduke-ii	Bakutotsu_Kij%C5%ABtei
ballblazer	Ballblazer
baltic-1985	Baltic_1985:_Corridor_to_Berlin
bang-bang-ball	Bang_Bang_Ball
bank-panic	Bank_Panic
barbarian	Barbarian_(1987_video_game)
barmy-burgers	Barmy_Burgers
baseball-stars-2_	Baseball_Stars_2
baseball-stars-professional	Baseball_Stars_Professional
basketball	Basketball_(1978_video_game)
batman__	Batman_(1989_Ocean_video_game)
batman_	Batman_(1986_video_game)
batman-the-caped-crusader	Batman:_The_Caped_Crusader
battle-bakraid	Battle_Bakraid
battle-chess	Battle_Chess
battle-chopper_	Mr._Heli
battle-cross	Battle_Cross_(1982_video_game)
battle-for-midway	The_Battle_For_Midway
battle-garegga	Battle_Garegga
battle-of-britain__	Battle_of_Britain_(video_game)
battle-of-the-bulge-tigers-in-the-snow	Tigers_in_the_Snow
battle-of-the-planets	List_of_Gatchaman_video_games#Battle_of_the_Planets
battlecars	Battlecars_(video_game)
battles-of-napoleon	Battles_of_Napoleon
battletech-the-crescent-hawks-inception	BattleTech:_The_Crescent_Hawk%27s_Inception
battletoads__	Battletoads_Arcade
battlezone_	Battlezone_(1980_video_game)
batty_	Batty_(video_game)
batty	Batty_(video_game)
bazooka-bill	Bazooka_Bill
bc-ii-grogs-revenge	B.C._II:_Grog%27s_Revenge
bcs-quest-for-tires	B.C.%27s_Quest_for_Tires
beach-buggy-simulator	Beach_Buggy_Simulator
beach-head-ii-the-dictator-strikes-back	Beach_Head_II:_The_Dictator_Strikes_Back
beach-head	Beach_Head_(video_game)
beach-volley	Beach_Volley
beaky-and-the-egg-snatchers	Beaky_and_the_Egg_Snatchers
beamrider	Beamrider
bear-bovver	Bear_Bovver
beast-busters	Beast_Busters
bee-52	Bee_52
belegost	Belegost_(video_game)
ben-bero-beh	Ben_Bero_Beh
beneath-apple-manor	Beneath_Apple_Manor
benny-hills-madcap-chase	Benny_Hill's_Madcap_Chase
berlinwall_	The_Berlin_Wall_(video_game)
berzerk	Berzerk_(video_game)
beyond-castle-wolfenstein	Beyond_Castle_Wolfenstein
beyond-the-black-hole	Beyond_the_Black_Hole_(video_game)
beyond-the-ice-palace	Beyond_the_Ice_Palace
big-karnak	Big_Karnak
big-trouble-in-little-china	Big_Trouble_in_Little_China_(video_game)
bio-ship-paladin	Bio-ship_Paladin
biomechanical-toy	Biomechanical_Toy
bionic-commando	Bionic_Commando_(arcade)
bismarck	Bismarck_(video_game)
black-gold_	Black_Gold_(video_game)
black-lamp	Black_Lamp_(video_game)
black-magic_	Black_Magic_(video_game)
blade-master	Blade_Master
blade-runner_	Blade_Runner_(1985_video_game)
blagger	Blagger_(video_game)
blasteroids	Blasteroids
blazeon	BlaZeon
blazing-star	Blazing_Star
blockout	Blockout
blood-bros	Blood_Bros.
blood-money	Blood_Money_(video_game)
blood-warrior	Blood_Warrior
bloodstorm	BloodStorm
bloodwych	Bloodwych
blue-hawk	Blue_Hawk_(video_game)
blue-max-2001	Blue_Max_(video_game)
blue-max	Blue_Max_(video_game)
blue-thunder	Airwolf_(video_game)
blueprint	Blue_Print_(video_game)
blues-journey	Blue%27s_Journey
bmx-simulator	BMX_Simulator
bobby-bearing	Bobby_Bearing
boggit-bored-too	The_Boggit
bomb-bee	Bomb_Bee
bomb-jack	Bomb_Jack
bonanza-bros	Bonanza_Bros.
bonka	Bonka
bonze-adventure	Bonze_Adventure
boot-camp	Combat_School
boot-hill	Boot_Hill_(video_game)
booty	Booty_(video_game)
bopn-wrestle	Rock%27n_Wrestle
border-zone	Border_Zone_(video_game)
bored-of-the-rings	Bored_of_the_Rings_(video_game)
borrowed-time	Borrowed_Time_(video_game)
bosconian-87	Bosconian_'87
boulder-dash_	Boulder_Dash
boulder-dash-iii	Boulder_Dash_III
boulder-dash	Boulder_Dash
bounces	Bounces_(video_game)
bounty-bob-strikes-back	Bounty_Bob_Strikes_Back!
brain-strainers	Brain_Strainers
bravestarr	BraveStarr
breakthru_	BreakThru_(video_game)
brian-bloodaxe	Brian_Bloodaxe
brian-jacks-superstar-challenge	Brian_Jacks_Superstar_Challenge
broadsides	Broadsides_(video_game)
bruce-lee	Bruce_Lee_(video_game)
bubble-bobble	Bubble_Bobble
bubble-dizzy	Bubble_Dizzy
bubble-ghost	Bubble_Ghost
bubbler	Bubbler_(video_game)
bubbles	Bubbles_(video_game)
buck-rogers-countdown-to-doomsday	Buck_Rogers:_Countdown_to_Doomsday
buck-rogers-planet-of-zoom	Buck_Rogers#Planet_of_Zoom_video_game
bugaboo-the-flea	Bugaboo_(The_Flea)
buggy-ranger	Buggy_Boy
bugsy	Bugsy_(video_game)
bumpy	Bumpy_(video_game)
burgertime	BurgerTime
burning-force	Burning_Force
bust-a-move__	Puzzle_Bobble
bust-a-move-again	Puzzle_Bobble_2
buster-bros	Pang_(video_game)
by-fair-means-or-foul	By_Fair_Means_or_Foul
cabal	Cabal_(video_game)
cadash	Cadash
cadillacs-and-dinosaurs	Cadillacs_and_Dinosaurs_(video_game)
caliber50	Caliber_.50
canyon-climber	Canyon_Climber
captain-america-and-the-avengers	Captain_America_and_The_Avengers
captain-america-in-the-doom-tube-of-dr-megalomann	Captain_America_in:_The_Doom_Tube_of_Dr._Megalomann
captain-blood	Captain_Blood_(video_game)
captain-commando	Captain_Commando
captain-dynamo	Captain_Dynamo_(video_game)
captain-planet	Captain_Planet_and_the_Planeteers_(video_game)
captain-zapp	Flash_Gordon_(video_game)
capture-the-flag_	Capture_the_Flag_(video_game)
card-sharks_	Card_Sharks_(video_game)
carnival	Carnival_(video_game)
carrier-air-wing	Carrier_Air_Wing_(video_game)
carrier-command	Carrier_Command
carriers-at-war-1941-1945-fleet-carrier-operations-in-the-pacifi	Carriers_at_War
castle-master	Castle_Master
castle-of-terror	Castle_of_Terror
castle-wolfenstein	Castle_Wolfenstein
castles-of-dr-creep	The_Castles_of_Dr._Creep
catalypse	Catalypse
cauldron-ii-the-pumpkin-strikes-back	Cauldron_II:_The_Pumpkin_Strikes_Back
cauldron	Cauldron_(video_game)
caverns-of-mars	Caverns_of_Mars
centipede_	Centipede_(video_game)
champion-boxing	Champion_Boxing
champions-of-krynn	Champions_of_Krynn
championship-3d-snooker	Championship_3D_Snooker
championship-baseball	Championship_Baseball
championship-lode-runner	Championship_Lode_Runner
championship-sprint	Super_Sprint
chaos	Chaos:_The_Battle_of_Wizards
