mobygames_id	world_of_spectrum_id
007-licence-to-kill	0000001
10th-frame	0000011
19-part-1-boot-camp	0000016
1942	0009297
1942-mission	0005898
1984-a-game-of-government-management-	0000017
1985-the-day-after	0000018
1994-ten-years-after	0000019
1999	0000020
1st-division-manager	0009345
2-player-soccer-squad	0000023
2088	0000026
2112ad	0000027
3-d-monster-chase	0003249
3-deep-space	0000035
3d-bat-attack	0000432
3d-combat-zone	0001033
3d-defence	0001316
3d-desert-patrol	0001356
3d-interceptor	0002493
3d-lunattack	0002955
3d-painter	0003589
3d-pinball	0003717
3d-quadracube	0003966
3d-seiddab-attack	0004393
3d-space-wars	0004686
3d-starfighter	0009423
3d-starstrike	0004880
3d-stock-car-championship	0004904
3d-stock-cars-ii	0012129
3d-tank-duel	0005136
3d-tanx	0005140
3d-tunnel	0005453
3d-tunnel	0005603
4-soccer-simulators	0009299
4x4-off-road-racing	0000036
720	0000041
747-flight-simulator	0000043
750cc-grand-prix	0009300
911-ts	0000044
a-day-in-the-life	0001271
a-fistful-of-necronomicons	0006311
a-harvesting-moon	0006421
a-legacy-for-alaric	0006567
a-question-of-scruples-the-computer-edition	0003976
a-serpentine-tale	0006014
a-team	0000303
a-ticket-to-ride	0005266
a-view-to-a-kill-the-computer-game	0000009
aaargh	0000045
abracadabra	0005902
abu-simbel-profanation	0000048
abyss	0000053
accelerator_	0000055
ace-2	0000059
ace-2088	0000061
ace-low	0000064
ace-of-aces	0000065
acrojet	0000069
action-biker	0000072
action-fighter	0000074
action-force	0000076
action-force-ii-international-heroes	0000077
action-reflex	0000078
ad-astra	0000079
addams-family_	0000082
adder-attack	0000084
adidas-championship-football	0000085
admiral-graf-spee	0000088
advanced-pinball-simulator	0009301
advanced-soccer-simulator	0000092
adventure-1	0006087
adventure-a	0005913
adventure-b	0005914
adventure-c	0005915
adventure-quest	0005923
adventures-of-barsak-the-dwarf	0005927
adventures-of-buckaroo-banzai-across-the-eighth-dimension	0006049
adventures-of-st-bernard	0000097
africa-gardens	0005932
african-trail-simulator	0000100
after-burner-ii	0000103
after-shock	0005933
after-the-war	0000101
aftermath	0005934
afteroids	0000105
agathas-folly	0005936
agent-orange	0000107
agent-x	0000109
agent-x-ii-the-mad-profs-back	0000111
ah-diddums	0000112
